time             ,language   ,distributed,seed,hidden,rate,momentum,ticks,rand_range,num_train,boundary_precision,boundary_recall,boundary_F,word_precision,word_recall,word_F,expA_accuracy,expB_accuracy,expA_std,expB_std
03/28 at 20:26:00,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.578             ,0.544          ,0.56      ,0.284         ,0.267      ,0.275 ,0.748        ,0.774        ,0.068   ,0.067   
03/28 at 20:26:30,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.661             ,0.668          ,0.665     ,0.342         ,0.345      ,0.344 ,0.791        ,0.77         ,0.067   ,0.07    
03/28 at 20:30:21,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.638             ,0.609          ,0.623     ,0.324         ,0.309      ,0.317 ,0.714        ,0.741        ,0.068   ,0.072   
03/28 at 20:30:51,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.639             ,0.658          ,0.648     ,0.316         ,0.326      ,0.321 ,0.778        ,0.777        ,0.069   ,0.067   
03/28 at 20:34:43,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.644             ,0.583          ,0.612     ,0.302         ,0.274      ,0.287 ,0.72         ,0.654        ,0.072   ,0.075   
03/28 at 20:35:13,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.614             ,0.616          ,0.615     ,0.295         ,0.296      ,0.296 ,0.738        ,0.75         ,0.071   ,0.069   
03/28 at 20:39:04,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.68              ,0.629          ,0.653     ,0.313         ,0.29       ,0.301 ,0.704        ,0.718        ,0.074   ,0.071   
03/28 at 20:39:34,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.654             ,0.707          ,0.679     ,0.367         ,0.397      ,0.382 ,0.699        ,0.638        ,0.073   ,0.073   
03/28 at 20:43:25,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.32      ,696692.0 ,0.679             ,0.759          ,0.717     ,0.397         ,0.443      ,0.418 ,0.695        ,0.666        ,0.073   ,0.078   
03/28 at 20:43:55,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.95    ,1.0  ,0.32      ,69669.0  ,0.549             ,0.655          ,0.597     ,0.191         ,0.228      ,0.208 ,0.73         ,0.741        ,0.067   ,0.07    
03/28 at 20:47:47,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.18      ,696692.0 ,0.455             ,0.818          ,0.584     ,0.17          ,0.306      ,0.219 ,0.547        ,0.562        ,0.08    ,0.084   
03/28 at 20:48:18,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.18      ,69669.0  ,0.382             ,0.814          ,0.52      ,0.115         ,0.244      ,0.156 ,0.593        ,0.601        ,0.079   ,0.08    
03/28 at 20:52:08,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.25      ,696692.0 ,0.495             ,0.821          ,0.618     ,0.214         ,0.355      ,0.267 ,0.594        ,0.578        ,0.079   ,0.08    
03/28 at 20:52:38,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.25      ,69669.0  ,0.516             ,0.818          ,0.633     ,0.259         ,0.41       ,0.318 ,0.663        ,0.593        ,0.075   ,0.083   
03/28 at 20:56:30,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.32      ,696692.0 ,0.875             ,0.114          ,0.202     ,0.45          ,0.059      ,0.104 ,0.594        ,0.602        ,0.08    ,0.081   
03/28 at 20:57:00,danish     ,False      ,0.0 ,70.0  ,0.1 ,0.98    ,1.0  ,0.32      ,69669.0  ,0.443             ,0.87           ,0.587     ,0.156         ,0.306      ,0.207 ,0.532        ,0.609        ,0.078   ,0.078   
03/28 at 21:00:51,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.18      ,696692.0 ,0.662             ,0.606          ,0.633     ,0.317         ,0.29       ,0.303 ,0.808        ,0.7          ,0.063   ,0.072   
03/28 at 21:01:21,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.18      ,69669.0  ,0.686             ,0.684          ,0.685     ,0.451         ,0.45       ,0.45  ,0.724        ,0.638        ,0.072   ,0.074   
03/28 at 21:05:12,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.25      ,696692.0 ,0.676             ,0.599          ,0.636     ,0.36          ,0.319      ,0.339 ,0.747        ,0.699        ,0.07    ,0.075   
03/28 at 21:05:42,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.25      ,69669.0  ,0.691             ,0.642          ,0.666     ,0.351         ,0.326      ,0.338 ,0.704        ,0.719        ,0.074   ,0.075   
03/28 at 21:09:34,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.32      ,696692.0 ,0.672             ,0.567          ,0.615     ,0.32          ,0.27       ,0.293 ,0.746        ,0.684        ,0.071   ,0.076   
03/28 at 21:10:05,danish     ,False      ,0.0 ,70.0  ,0.13,0.92    ,1.0  ,0.32      ,69669.0  ,0.643             ,0.651          ,0.647     ,0.289         ,0.293      ,0.291 ,0.759        ,0.78         ,0.072   ,0.065   
03/28 at 21:13:56,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.18      ,696692.0 ,0.643             ,0.71           ,0.675     ,0.336         ,0.371      ,0.353 ,0.63         ,0.599        ,0.079   ,0.08    
03/28 at 21:14:26,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.18      ,69669.0  ,0.644             ,0.642          ,0.643     ,0.363         ,0.362      ,0.362 ,0.666        ,0.671        ,0.077   ,0.074   
03/28 at 21:18:18,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.25      ,696692.0 ,0.667             ,0.619          ,0.642     ,0.316         ,0.293      ,0.304 ,0.654        ,0.629        ,0.078   ,0.079   
03/28 at 21:18:48,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.25      ,69669.0  ,0.649             ,0.775          ,0.706     ,0.373         ,0.446      ,0.407 ,0.704        ,0.72         ,0.074   ,0.072   
03/28 at 21:22:39,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.32      ,696692.0 ,0.628             ,0.687          ,0.656     ,0.327         ,0.358      ,0.342 ,0.677        ,0.617        ,0.077   ,0.076   
03/28 at 21:23:10,danish     ,False      ,0.0 ,70.0  ,0.13,0.95    ,1.0  ,0.32      ,69669.0  ,0.657             ,0.58           ,0.616     ,0.332         ,0.293      ,0.311 ,0.691        ,0.74         ,0.069   ,0.07    
03/28 at 21:27:02,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.18      ,696692.0 ,0.574             ,0.202          ,0.299     ,0.213         ,0.075      ,0.111 ,0.549        ,0.538        ,0.079   ,0.083   
03/28 at 21:27:32,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.18      ,69669.0  ,0.377             ,0.876          ,0.527     ,0.071         ,0.166      ,0.1   ,0.573        ,0.554        ,0.082   ,0.083   
03/28 at 21:31:23,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.25      ,696692.0 ,0.409             ,0.912          ,0.565     ,0.107         ,0.238      ,0.147 ,0.514        ,0.538        ,0.083   ,0.081   
03/28 at 21:31:53,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.25      ,69669.0  ,0.342             ,0.941          ,0.502     ,0.045         ,0.124      ,0.066 ,0.529        ,0.544        ,0.082   ,0.08    
03/28 at 21:35:45,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.32      ,696692.0 ,0.382             ,0.736          ,0.503     ,0.127         ,0.244      ,0.167 ,0.578        ,0.563        ,0.079   ,0.084   
03/28 at 21:36:15,danish     ,False      ,0.0 ,70.0  ,0.13,0.98    ,1.0  ,0.32      ,69669.0  ,0.423             ,0.893          ,0.574     ,0.128         ,0.27       ,0.174 ,0.511        ,0.557        ,0.075   ,0.083   
03/28 at 21:40:50,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.18      ,696692.0 ,0.625             ,0.515          ,0.564     ,0.277         ,0.228      ,0.25  ,0.805        ,0.769        ,0.064   ,0.072   
03/28 at 21:41:25,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.18      ,69669.0  ,0.726             ,0.57           ,0.639     ,0.324         ,0.254      ,0.285 ,0.753        ,0.807        ,0.071   ,0.063   
03/28 at 21:45:59,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.25      ,696692.0 ,0.693             ,0.638          ,0.664     ,0.343         ,0.316      ,0.329 ,0.76         ,0.809        ,0.069   ,0.064   
03/28 at 21:46:34,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.25      ,69669.0  ,0.68              ,0.554          ,0.61      ,0.32          ,0.261      ,0.287 ,0.747        ,0.763        ,0.072   ,0.07    
03/28 at 21:51:10,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.32      ,696692.0 ,0.605             ,0.524          ,0.562     ,0.233         ,0.202      ,0.216 ,0.783        ,0.785        ,0.065   ,0.067   
03/28 at 21:51:45,danish     ,False      ,0.0 ,80.0  ,0.07,0.92    ,1.0  ,0.32      ,69669.0  ,0.598             ,0.629          ,0.613     ,0.288         ,0.303      ,0.295 ,0.762        ,0.766        ,0.067   ,0.069   
03/28 at 21:56:20,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.18      ,696692.0 ,0.628             ,0.599          ,0.613     ,0.314         ,0.3        ,0.307 ,0.729        ,0.76         ,0.073   ,0.07    
03/28 at 21:56:55,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.18      ,69669.0  ,0.704             ,0.629          ,0.664     ,0.35          ,0.313      ,0.33  ,0.771        ,0.771        ,0.068   ,0.067   
03/28 at 22:01:29,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.25      ,696692.0 ,0.667             ,0.645          ,0.656     ,0.364         ,0.352      ,0.358 ,0.711        ,0.725        ,0.074   ,0.071   
03/28 at 22:02:05,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.25      ,69669.0  ,0.653             ,0.521          ,0.58      ,0.31          ,0.248      ,0.275 ,0.728        ,0.758        ,0.075   ,0.067   
03/28 at 22:06:44,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.32      ,696692.0 ,0.678             ,0.632          ,0.654     ,0.357         ,0.332      ,0.344 ,0.731        ,0.706        ,0.07    ,0.073   
03/28 at 22:07:19,danish     ,False      ,0.0 ,80.0  ,0.07,0.95    ,1.0  ,0.32      ,69669.0  ,0.698             ,0.661          ,0.679     ,0.392         ,0.371      ,0.381 ,0.777        ,0.749        ,0.068   ,0.072   
03/28 at 22:11:53,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.18      ,696692.0 ,0.538             ,0.684          ,0.603     ,0.269         ,0.342      ,0.301 ,0.624        ,0.609        ,0.077   ,0.08    
03/28 at 22:12:29,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.18      ,69669.0  ,0.466             ,0.743          ,0.573     ,0.182         ,0.29       ,0.224 ,0.682        ,0.608        ,0.077   ,0.08    
03/28 at 22:17:03,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.25      ,696692.0 ,0.608             ,0.723          ,0.661     ,0.304         ,0.362      ,0.33  ,0.597        ,0.628        ,0.084   ,0.08    
03/28 at 22:17:38,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.25      ,69669.0  ,0.523             ,0.642          ,0.576     ,0.218         ,0.267      ,0.24  ,0.696        ,0.643        ,0.073   ,0.075   
03/28 at 22:22:12,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.32      ,696692.0 ,0.576             ,0.775          ,0.661     ,0.322         ,0.433      ,0.369 ,0.591        ,0.619        ,0.078   ,0.078   
03/28 at 22:22:47,danish     ,False      ,0.0 ,80.0  ,0.07,0.98    ,1.0  ,0.32      ,69669.0  ,0.477             ,0.73           ,0.577     ,0.183         ,0.28       ,0.221 ,0.693        ,0.642        ,0.075   ,0.075   
03/28 at 22:27:22,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.18      ,696692.0 ,0.683             ,0.596          ,0.637     ,0.336         ,0.293      ,0.313 ,0.746        ,0.759        ,0.071   ,0.069   
03/28 at 22:27:57,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.18      ,69669.0  ,0.644             ,0.619          ,0.631     ,0.329         ,0.316      ,0.322 ,0.769        ,0.78         ,0.069   ,0.068   
03/28 at 22:32:31,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.25      ,696692.0 ,0.527             ,0.476          ,0.5       ,0.159         ,0.143      ,0.151 ,0.706        ,0.748        ,0.074   ,0.07    
03/28 at 22:33:06,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.25      ,69669.0  ,0.703             ,0.609          ,0.653     ,0.38          ,0.329      ,0.353 ,0.718        ,0.756        ,0.073   ,0.07    
03/28 at 22:37:40,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.32      ,696692.0 ,0.617             ,0.593          ,0.605     ,0.305         ,0.293      ,0.299 ,0.686        ,0.749        ,0.073   ,0.069   
03/28 at 22:38:15,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.92    ,1.0  ,0.32      ,69669.0  ,0.635             ,0.537          ,0.582     ,0.273         ,0.231      ,0.25  ,0.763        ,0.745        ,0.071   ,0.068   
03/28 at 22:42:49,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.18      ,696692.0 ,0.646             ,0.583          ,0.613     ,0.329         ,0.296      ,0.312 ,0.747        ,0.7          ,0.068   ,0.074   
03/28 at 22:43:24,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.18      ,69669.0  ,0.675             ,0.785          ,0.726     ,0.443         ,0.515      ,0.476 ,0.699        ,0.75         ,0.072   ,0.069   
03/28 at 22:48:00,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.25      ,696692.0 ,0.629             ,0.629          ,0.629     ,0.326         ,0.326      ,0.326 ,0.707        ,0.648        ,0.072   ,0.08    
03/28 at 22:48:35,danish     ,False      ,0.0 ,80.0  ,0.1 ,0.95    ,1.0  ,0.25      ,69669.0  ,0.555             ,0.629          ,0.589     ,0.204         ,0.231      ,0.217 ,0.743        ,0.688        ,0.072   ,0.072   
