language   ,word,subj,condition,error ,type  
english,47  ,1   ,A  ,17.073,foil  
english,48  ,1   ,A  ,7.491 ,target
english,49  ,1   ,A  ,8.629 ,foil  
english,50  ,1   ,A  ,10.803,target
english,51  ,1   ,A  ,9.737 ,foil  
english,52  ,1   ,A  ,10.235,foil  
english,53  ,1   ,A  ,5.269 ,target
english,54  ,1   ,A  ,18.404,foil  
english,55  ,1   ,A  ,5.487 ,target
english,56  ,1   ,A  ,6.331 ,target
english,57  ,1   ,A  ,17.019,foil  
english,58  ,1   ,A  ,14.184,foil  
english,59  ,1   ,A  ,11.804,target
english,60  ,1   ,A  ,12.954,target
english,61  ,1   ,A  ,7.142 ,foil  
english,62  ,1   ,A  ,5.585 ,target
english,63  ,1   ,A  ,10.268,foil  
english,64  ,1   ,A  ,7.265 ,target
english,65  ,1   ,A  ,10.67 ,foil  
english,66  ,1   ,A  ,18.013,foil  
english,67  ,1   ,A  ,13.285,target
english,68  ,1   ,A  ,11.926,foil  
english,69  ,1   ,A  ,10.869,target
english,70  ,1   ,A  ,13.017,target
english,71  ,1   ,A  ,14.817,foil  
english,0   ,1   ,B  ,34.186,foil  
english,1   ,1   ,B  ,17.128,target
english,2   ,1   ,B  ,16.505,target
english,3   ,1   ,B  ,41.054,foil  
english,4   ,1   ,B  ,19.303,target
english,5   ,1   ,B  ,32.336,foil  
english,6   ,1   ,B  ,11.526,target
english,7   ,1   ,B  ,48.389,foil  
english,8   ,1   ,B  ,45.378,foil  
english,9   ,1   ,B  ,13.179,target
english,10  ,1   ,B  ,21.325,foil  
english,11  ,1   ,B  ,12.387,target
english,12  ,1   ,B  ,27.35 ,foil  
english,13  ,1   ,B  ,4.356 ,target
english,14  ,1   ,B  ,32.067,foil  
english,15  ,1   ,B  ,5.608 ,target
english,16  ,1   ,B  ,9.358 ,target
english,17  ,1   ,B  ,20.127,foil  
english,18  ,1   ,B  ,8.066 ,target
english,19  ,1   ,B  ,28.325,foil  
english,20  ,1   ,B  ,37.834,foil  
english,21  ,1   ,B  ,18.079,target
english,22  ,1   ,B  ,9.99  ,target
english,23  ,1   ,B  ,17.248,foil  
english,24  ,1   ,B  ,13.862,foil  
english,25  ,1   ,B  ,3.837 ,target
english,26  ,1   ,B  ,27.835,foil  
