time,lang,distributed,seed,word_F,contoid_accuracy,vocoid_accuracy,contoid_reaction,vocoid_reaction
05/25 at 15:39:27,danish,True,7,0.28571428571428575,0.6111111111111112,0.4722222222222222,149.71124748323797,8.383522973573978
05/25 at 15:49:09,danish,True,8,0.31067961165048547,0.41666666666666663,0.4444444444444444,54.454231265708955,5.0884399861287655
05/25 at 15:58:50,danish,True,9,0.408284023668639,0.5,0.3055555555555556,149.68364605821674,11.056492067561717
05/25 at 14:36:16,danish,False,0,0.3548922056384743,0.6666666666666667,0.6666666666666667,1.0728225231956023,1.6070562148037135
05/25 at 16:13:18,danish,False,10,0.3306055646481178,0.5555555555555556,0.8333333333333334,5.7147818086060385,1.3769386849205179
05/25 at 16:23:00,danish,False,11,0.41233766233766234,0.5833333333333333,0.75,3.6534274554830537,1.2205668124531788
05/25 at 16:32:42,danish,False,12,0.3535031847133758,0.6388888888888888,0.7222222222222222,6.1110870788964515,1.7438293079543894
05/25 at 16:42:48,danish,False,13,0.2251655629139073,0.7222222222222222,0.8888888888888888,2.5957065886332455,3.225998002974713
05/25 at 17:02:32,danish,False,14,0.2774957698815567,0.5833333333333333,0.6944444444444444,1.0107761959487314,2.279106448096176
05/25 at 17:22:33,danish,False,15,0.37499999999999994,0.6111111111111112,0.5833333333333333,5.725281190042805,3.0929593884431617
05/25 at 17:42:22,danish,False,16,0.30715532286212915,0.7222222222222222,0.7222222222222222,1.1698161582338544,1.3509828188949657
05/25 at 18:00:02,danish,False,17,0.2915360501567398,0.75,0.75,1.655277675937472,0.975329350230285
05/25 at 18:09:55,danish,False,18,0.23510466988727857,0.6388888888888888,0.6944444444444444,2.450705702236115,2.5609067964079038
05/25 at 18:19:35,danish,False,19,0.30769230769230765,0.6944444444444444,0.75,4.047580547134155,2.4669082849486643
05/25 at 14:46:06,danish,False,1,0.2932454695222405,0.6944444444444444,0.5277777777777778,14.26888954308742,1.921186706140891
05/25 at 18:29:19,danish,False,20,0.33389544688026973,0.6388888888888888,0.6944444444444444,2.392888288059784,1.4032234293005208
05/25 at 18:39:00,danish,False,21,0.20408163265306123,0.6944444444444444,0.7222222222222222,325.1144823600324,1.8732098671391304
05/25 at 18:48:40,danish,False,22,0.29606299212598425,0.7777777777777778,0.7222222222222222,1.9841927974105247,1.3227673936504245
05/25 at 18:58:27,danish,False,23,0.2851985559566787,0.75,0.6111111111111112,0.9954946274646018,1.4548251014535096
05/25 at 19:08:08,danish,False,24,0.22258064516129034,0.6944444444444444,0.5555555555555556,3.603071781245161,2.5852761156359993
05/25 at 19:17:49,danish,False,25,0.24212271973466004,0.75,0.6111111111111112,2.20697761078667,4.045528952894972
05/25 at 19:27:30,danish,False,26,0.3104056437389771,0.8611111111111112,0.6666666666666667,1.6050827637399185,1.7529105862864223
05/25 at 19:37:12,danish,False,27,0.2882562277580071,0.6111111111111112,0.8055555555555556,13.678142493411487,1.2993676473621005
05/25 at 14:55:47,danish,False,2,0.36614853195164077,0.5,0.6111111111111112,2.557624984974724,1.9726480733790859
05/25 at 15:05:28,danish,False,3,0.23304347826086957,0.6944444444444444,0.6666666666666667,1.9680168873619102,2.1789982742016147
05/25 at 15:15:10,danish,False,4,0.4383116883116882,0.6944444444444444,0.6944444444444444,1.5413670789668636,2.1969501896337174
05/25 at 15:24:52,danish,False,5,0.2653061224489796,0.6944444444444444,0.7777777777777778,3.3258525255884086,2.403670086945617
05/25 at 15:34:34,danish,False,6,0.23509933774834435,0.7777777777777778,0.75,8.158246331549561,2.393300508841227
05/25 at 15:44:16,danish,False,7,0.4228395061728395,0.5,0.6388888888888888,1.4999049722289037,1.4227178940244996
